model,mean_test_score,std_test_score,mean_train_score,overfit_gap,fit_time_sec,used_tuned_params,status
lightgbm,0.9284149187463304,0.0023863475623060633,0.9579459426971504,0.029531023950819968,1.51,False,ok
hist_gradient_boosting,0.9282046946346127,0.0025081588935749626,0.942373112697194,0.01416841806258129,2.54,False,ok
xgboost,0.9281777175423901,0.0024800129808698885,0.9416465722922819,0.01346885474989179,0.81,True,ok
gradient_boosting,0.9277634127169685,0.0019812915502732814,0.936694755476936,0.008931342759967542,7.71,True,ok
random_forest,0.9067998531534684,0.0034432939728671094,0.999999943143943,0.09320008999047458,11.13,False,ok
logistic_regression,0.9030895204025707,0.004246203184083122,0.9036621962207402,0.0005726758181694436,2.87,False,ok
svm_linear,0.9028748792439345,0.004329892988530659,0.9034839179638776,0.0006090387199431113,2.41,False,ok
adaboost,0.9022674580826674,0.00306926429342668,0.9038501597672814,0.0015827016846140518,3.04,False,ok
knn,0.8904350975160276,0.003363823346459602,0.9222971982043571,0.03186210068832951,9.7,False,ok
extra_trees,0.8877645822087702,0.003432302117493501,0.9999999812885771,0.11223539907980695,14.13,False,ok
naive_bayes,0.8648716924323928,0.0037793583087506986,0.8652380613992353,0.00036636896684250075,0.46,False,ok
decision_tree,0.7484765675833365,0.004988780071720098,0.9999999812885771,0.2515234137052407,2.05,False,ok
